id_localidad,localidad,padre,id_municipio,localidad_activo
360,California (Santa Mónica),,3,1
361,California (Sector Cuatro),,3,1
362,Campamento de la CFE,,3,1
363,Campamento de la Comisión Nacional del Agua,,3,1
364,Campamento las Casitas (El Mocúzarit),,3,1
365,Campo 24-A,,3,1
366,Campo Nuevo,,3,1
367,Capitahuasa,,3,1
368,Casanate,,3,1
369,Casas Coloradas,,3,1
370,Cerro Colorado (El Colorado),,3,1
371,Cerro Pelón,,3,1
372,Chacari,,3,1
373,Charajaqui,,3,1
374,Chícoras,,3,1
375,Chihuahua,,3,1
376,Chinahuiro,,3,1
377,Chinajaque,,3,1
378,Chinatopa,,3,1
379,Chino Gordo,,3,1
380,Choquinahui (El Cobre),,3,1
381,Chorijoa,,3,1
382,Cieneguita,,3,1
383,Cochibampo,,3,1
384,Cochuhuerito,,3,1
385,Compostela de las Amapas,,3,1
386,Conisaca,,3,1
387,Corogüi,,3,1
388,Crianza (Bachoco 3264),,3,1
389,Cuchuhuari,,3,1
390,Cuchujaqui,,3,1
391,Cuernavaca,,3,1
392,Cuesta Blanca,,3,1
393,Cuesta de Manojaqui,,3,1
394,Daniel Morales,,3,1
395,Dolisa (Presa el Veranito),,3,1
396,Dos Hermanos,,3,1
397,Ejido Severino Ceniceros (Cerro Pelón),,3,1
398,El Aguaje,,3,1
399,El Aguajito,,3,1
400,El Alamillo (Las Pitahayitas),,3,1
401,El Amapal,,3,1
402,El Ave Negra Dos,,3,1
403,El Ave Negra I,,3,1
404,El Babójori,,3,1
405,El Baiquillo,,3,1
406,El Barazón,,3,1
407,El Bebedero,,3,1
408,El Borbollón,,3,1
409,El Cajón,,3,1
410,El Cajón del Sabino (El Cajón),,3,1
411,El Cajoncito,,3,1
412,El Campamento Viejo de la CNA,,3,1
413,El Caracol,,3,1
414,El Carrizal,,3,1
415,El Centro,,3,1
416,El Cerco de Boon,,3,1
417,El Chalate,,3,1
418,El Chalatón,,3,1
419,El Chapote,,3,1
420,El Charuco,,3,1
421,El Chato,,3,1
422,El Chíchal,,3,1
423,El Chicural (Aniceto),,3,1
424,El Chiflido,,3,1
425,El Chiflido (El Chicural),,3,1
426,El Chilar,,3,1
427,El Chinal,,3,1
428,El Chino (San Antonio de los Chinos),,3,1
429,El Chirivo,,3,1
430,El Chupadero,,3,1
431,El Churubusco,,3,1
432,El Copas (La Noria),,3,1
433,El Corcovado,,3,1
434,El Coso,,3,1
435,El Dátil,,3,1
436,El Divisadero (El Mezquite Cuate),,3,1
437,El Encino,,3,1
438,El Eucalipto,,3,1
439,El Frijol,,3,1
440,El Garabato (Los Dos Hermanos),,3,1
441,El Garambullo,,3,1
442,El Gran Chaparral,,3,1
443,El Gringo (Cerro Blanco),,3,1
444,El Guacaporo,,3,1
